model_name,description,trainable_params,total_params,epochs_trained,best_val_accuracy,best_train_macro_f1,best_val_macro_f1,test_accuracy,macro_precision,macro_recall,macro_f1,Low_precision,Low_recall,Low_f1,Low_support,Medium_f1,High_f1
deep_sigmoid_adam_dropout025,"Deep net, sigmoid, Adam, dropout p=0.25",192579,192579,21,0.993,0.942,0.9734,0.998,0.9985,0.9988,0.9986,1.0,1.0,1.0,6.0,0.9978,0.9981
keras_tuner_best_retrained,Mejor shallow net encontrada por Keras Tuner y reentrenada con el protocolo común,4867,4867,17,0.992,0.9463,0.97,0.995,0.9146,0.9966,0.9496,0.75,1.0,0.8571,6.0,0.9945,0.9972
deep_relu_rmsprop_dropout025,"Deep net, ReLU, RMSprop, dropout p=0.25",192579,192579,39,0.99,0.9967,0.9522,0.995,0.9964,0.9969,0.9966,1.0,1.0,1.0,6.0,0.9945,0.9953
deep_tanh_adam_dropout025,"Deep net, tanh, Adam, dropout p=0.25",192579,192579,26,0.99,0.9014,0.9468,0.994,0.9492,0.9957,0.9706,0.8571,1.0,0.9231,6.0,0.9934,0.9954
deep_relu_adam_no_dropout,"Deep net 512-256-128-64-32, ReLU, Adam, sin dropout",192579,192579,22,0.985,0.9967,0.944,0.989,0.911,0.9921,0.9455,0.75,1.0,0.8571,6.0,0.9878,0.9917
deep_elu_adam_dropout025,"Deep net, ELU, Adam, dropout p=0.25",192579,192579,24,0.991,0.9145,0.936,0.993,0.995,0.9956,0.9953,1.0,1.0,1.0,6.0,0.9923,0.9935
deep_relu_adam_dropout025,"Deep net, ReLU, Adam, dropout p=0.25",192579,192579,35,0.989,0.9151,0.9347,0.996,0.9502,0.9974,0.972,0.8571,1.0,0.9231,6.0,0.9956,0.9972
deep_relu_adam_dropout050,"Deep net, ReLU, Adam, dropout p=0.50",192579,192579,19,0.983,0.8208,0.8788,0.985,0.8046,0.9896,0.859,0.4286,1.0,0.6,6.0,0.9834,0.9935
shallow_relu_sgd_lr_1e2,"Shallow net, 200 neuronas ReLU, SGD lr=0.01",7603,7603,50,0.976,0.8038,0.8748,0.973,0.7873,0.9817,0.8416,0.4,1.0,0.5714,6.0,0.9703,0.9832
baseline_lineal_sgd,"Capa lineal softmax, baseline mínimo",105,105,50,0.9101,0.6891,0.7025,0.889,0.6576,0.9238,0.6669,0.0984,1.0,0.1791,6.0,0.8751,0.9464
shallow_relu_sgd_lr_1e3,"Shallow net, 200 neuronas ReLU, SGD lr=0.001",7603,7603,50,0.8871,0.6676,0.6888,0.879,0.6503,0.9168,0.6631,0.1071,1.0,0.1935,6.0,0.8633,0.9326
deep_relu_sgd_dropout025,"Deep net, ReLU, SGD, dropout p=0.25",192579,192579,12,0.4496,0.2718,0.3179,0.438,0.4837,0.4839,0.2608,0.0769,0.5,0.1333,6.0,0.602,0.047
