model_name,description,hidden_layers,activation,dropout_rate,optimizer,learning_rate,total_params,trainable_params,non_trainable_params,epochs_trained,best_val_loss,best_val_accuracy,best_train_macro_f1,best_val_macro_f1,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,Low_precision,Low_recall,Low_f1,Low_support,Medium_precision,Medium_recall,Medium_f1,Medium_support,High_precision,High_recall,High_f1,High_support
deep_sigmoid_adam_dropout025,"Deep net, sigmoid, Adam, dropout p=0.25","(512, 256, 128, 64, 32)",sigmoid,0.25,adam,0.001,192579,192579,0,21,0.04246590659022331,0.9930070042610168,0.9420199715559142,0.9733577537563517,0.998,0.9985412107950401,0.9987631416202846,0.99864942716146,0.9980003342463968,1.0,1.0,1.0,6.0,0.9956236323851203,1.0,0.9978070175438597,455.0,1.0,0.9962894248608535,0.9981412639405205,539.0
keras_tuner_best_retrained,Mejor shallow net encontrada por Keras Tuner y reentrenada con el protocolo común,"(128,)",tanh,0.0,adam,0.01,4867,4867,0,17,0.020318225026130676,0.9920079708099365,0.9462785919534212,0.9699673418914464,0.995,0.9145786591989694,0.9965653394224824,0.9496189305891725,0.9951387141101695,0.75,1.0,0.8571428571428571,6.0,0.9955947136563876,0.9934065934065934,0.9944994499449945,455.0,0.9981412639405205,0.9962894248608535,0.9972144846796658,539.0
deep_relu_rmsprop_dropout025,"Deep net, ReLU, RMSprop, dropout p=0.25","(512, 256, 128, 64, 32)",relu,0.25,rmsprop,0.001,192579,192579,0,39,0.031994469463825226,0.9900099635124207,0.9967179350304164,0.9521954327158678,0.995,0.9963768115942028,0.9969078540507113,0.9966252289598813,0.9950020116215708,1.0,1.0,1.0,6.0,0.9891304347826086,1.0,0.994535519125683,455.0,1.0,0.9907235621521335,0.9953401677539608,539.0
deep_tanh_adam_dropout025,"Deep net, tanh, Adam, dropout p=0.25","(512, 256, 128, 64, 32)",tanh,0.25,adam,0.001,192579,192579,0,26,0.033127620816230774,0.9900099635124207,0.9013536978521212,0.946755678330264,0.994,0.9491818294806325,0.9957185671471386,0.9706096865398713,0.9940321545257005,0.8571428571428571,1.0,0.9230769230769231,6.0,0.9977827050997783,0.989010989010989,0.9933774834437086,455.0,0.992619926199262,0.9981447124304267,0.9953746530989824,539.0
deep_relu_adam_no_dropout,"Deep net 512-256-128-64-32, ReLU, Adam, sin dropout","(512, 256, 128, 64, 32)",relu,0.0,adam,0.001,192579,192579,0,22,0.03752565383911133,0.9850149750709534,0.9967179350304164,0.9440109078979743,0.989,0.9110352776272058,0.9920555634841349,0.9455464230731855,0.9891169504442069,0.75,1.0,0.8571428571428571,6.0,0.9977578475336323,0.978021978021978,0.9877913429522752,455.0,0.9853479853479854,0.9981447124304267,0.9917050691244239,539.0
deep_elu_adam_dropout025,"Deep net, ELU, Adam, dropout p=0.25","(512, 256, 128, 64, 32)",elu,0.25,adam,0.001,192579,192579,0,24,0.02770831808447838,0.991008996963501,0.9145320088993102,0.9360174044957524,0.993,0.9950279541877002,0.9955568241282527,0.9952753205438337,0.993002816270199,1.0,1.0,1.0,6.0,0.9869565217391304,0.9978021978021978,0.9923497267759562,455.0,0.99812734082397,0.9888682745825603,0.9934762348555451,539.0
deep_relu_adam_dropout025,"Deep net, ReLU, Adam, dropout p=0.25","(512, 256, 128, 64, 32)",relu,0.25,adam,0.001,192579,192579,0,35,0.024393202736973763,0.9890109896659851,0.9151017214397497,0.9346686596479449,0.996,0.9501927685735124,0.997412111697826,0.9719667534967412,0.9960386614568622,0.8571428571428571,1.0,0.9230769230769231,6.0,0.9934354485776805,0.9978021978021978,0.9956140350877193,455.0,1.0,0.9944341372912802,0.9972093023255814,539.0
deep_relu_adam_dropout050,"Deep net, ReLU, Adam, dropout p=0.50","(512, 256, 128, 64, 32)",relu,0.5,adam,0.001,192579,192579,0,19,0.03908992186188698,0.9830169677734375,0.820837297955565,0.878847202022443,0.985,0.8045763247255785,0.989581846724704,0.8589712621525547,0.9865487960940511,0.42857142857142855,1.0,0.6,6.0,0.9888888888888889,0.978021978021978,0.9834254143646409,455.0,0.996268656716418,0.9907235621521335,0.9934883720930232,539.0
shallow_relu_sgd_lr_1e2,"Shallow net, 200 neuronas ReLU, SGD lr=0.01","(200,)",relu,0.0,sgd,0.01,7603,7603,0,50,0.10486365109682083,0.9760239720344543,0.8037876637137337,0.8748066748066748,0.973,0.7873164809698819,0.9817040102754389,0.8416343904083332,0.9748464302237967,0.4,1.0,0.5714285714285714,6.0,0.9713656387665198,0.9692307692307692,0.9702970297029703,455.0,0.9905838041431262,0.9758812615955473,0.983177570093458,539.0
baseline_lineal_sgd,"Capa lineal softmax, baseline mínimo",(),relu,0.0,sgd,0.005,105,105,0,50,0.30529066920280457,0.910089910030365,0.6891115154851185,0.7024922538213452,0.889,0.6576306138583942,0.9238190381047525,0.6668684127642391,0.9093517258489883,0.09836065573770492,1.0,0.1791044776119403,6.0,0.8963133640552995,0.8549450549450549,0.875140607424072,455.0,0.9782178217821782,0.9165120593692022,0.946360153256705,539.0
shallow_relu_sgd_lr_1e3,"Shallow net, 200 neuronas ReLU, SGD lr=0.001","(200,)",relu,0.0,sgd,0.001,7603,7603,0,50,0.41475537419319153,0.8871129155158997,0.6676065576032983,0.6888122961849357,0.879,0.6502559561513502,0.916835545406974,0.663132940831744,0.8966094207650614,0.10714285714285714,1.0,0.1935483870967742,6.0,0.8883720930232558,0.8395604395604396,0.8632768361581921,455.0,0.9552529182879378,0.9109461966604824,0.932573599240266,539.0
deep_relu_sgd_dropout025,"Deep net, ReLU, SGD, dropout p=0.25","(512, 256, 128, 64, 32)",relu,0.25,sgd,0.001,192579,192579,0,12,1.0899477005004883,0.44955044984817505,0.2717773260817654,0.317892172940722,0.438,0.4837040819089394,0.4838637552923268,0.2607822517102208,0.30005047400639234,0.07692307692307693,0.5,0.13333333333333333,6.0,0.44561774023231254,0.9274725274725275,0.6019971469329529,455.0,0.9285714285714286,0.02411873840445269,0.04701627486437613,539.0
